Model,Family,Platform,# of CPU Cores,# of Threads,Base Clock,score
AMD Ryzen™ 3 3300U,AMD Ryzen™ Processors,Laptop,4.0,4.0,2.1,3.4530598794141185
A8-6500T with Radeon™ HD 8550D,AMD A-Series Processors,Desktop,4.0,4.0,2.1,3.4530598794141185
A10 PRO-7350B with Radeon™ R6 Graphics,AMD PRO A-Series Processors,Laptop,4.0,4.0,2.1,3.4530598794141185
Athlon™ 5350 APU with Radeon™ R3 Series,AMD Athlon™ Processors,Desktop,4.0,4.0,2.05,3.383903591930546
A6-7000 with Radeon™ R4 Graphics,AMD A-Series Processors,Laptop,2.0,2.0,2.2,3.317124551829222
TL-64,AMD Turion™,Laptop,2.0,2.0,2.2,3.317124551829222
A6 PRO-7050B with Radeon™ R4 Graphics,AMD PRO A-Series Processors,Laptop,2.0,2.0,2.2,3.317124551829222
AMD Ryzen™ 3 PRO 2300U,AMD Ryzen™ PRO Processors,Laptop,4.0,4.0,2.0,3.3147473044469735
A8-6410 with Radeon™ R5 Graphics,AMD A-Series Processors,Laptop,4.0,4.0,2.0,3.3147473044469735
A6-7310 with Radeon™ R4 Graphics,AMD A-Series Processors,All-in-One,4.0,4.0,2.0,3.3147473044469735
A6-5200M with Radeon™ HD 8400,AMD A-Series Processors,Laptop,4.0,4.0,2.0,3.3147473044469735
A6-5200 with Radeon™ HD 8400,AMD A-Series Processors,Desktop,4.0,4.0,2.0,3.3147473044469735
A4 PRO-3350B with Radeon™ R4 Graphics,AMD PRO A-Series Processors,Laptop,4.0,4.0,2.0,3.3147473044469735
A6-7310 with Radeon™ R4 Graphics,AMD A-Series Processors,Laptop,4.0,4.0,2.0,3.3147473044469735
A6-7310 with Radeon™ R4 Graphics,AMD A-Series Processors,Laptop,4.0,4.0,2.0,3.3147473044469735
AMD Ryzen™ 3 2300U,AMD Ryzen™ Processors,Laptop,4.0,4.0,2.0,3.3147473044469735
P860,AMD Phenom™,Laptop,3.0,3.0,2.0,3.1776233531709535
A8 PRO-7150B with Radeon™ R5 Graphics,AMD PRO A-Series Processors,Laptop,4.0,4.0,1.9,3.176434729479829
